Owner,Nominal crude steel capacity (ttpa),litpop_value,plant_count,country_count,Latitude,Longitude
Jishan Mingfu Steel Products Co Ltd,1433.0,245177255.62792537,1,1,35.665945,111.025976
Shandong Luli Steel Co Ltd,1400.0,309288577.011094,1,1,36.970875,118.955444
Heping Yueshen Steel Industrial Co Ltd,1400.0,922848789.0805657,1,1,24.49796,114.93888
Yunnan Qujing Iron and Steel Group Co Ltd,1400.0,54580293.24053438,1,1,26.275342,104.168311
Yunnan Qujing Iron and Steel Group Yanggang Iron and Steel Co Ltd,1400.0,135064897.5047968,1,1,25.308777,103.876391
Guangxi Guigang Iron and Steel Group Co Ltd,1400.0,6503602261.824279,1,1,23.088182,109.634638
Yantai Walsin Stainless Steel Co Ltd,1400.0,18963550948.945488,1,1,37.548627,121.277488
Nippon Steel Stainless Steel Corp,1366.0,1369220846.7925227,2,1,34.011835000000005,131.856312
Captain Steel India Ltd,1352.0,1860795451.2235923,2,1,23.319004303795843,87.09046517280512
Hebei New Wuan Lron and Steel Group Hong Rong Lron and Steel Co Ltd,1350.0,188809636.46592227,1,1,36.640411,113.981172
Inner Mongolia Desheng Metal Products Co Ltd,1350.0,111523145.34028804,1,1,39.867015,106.890377
Jiangsu Delong Nickel Industry Co Ltd,1350.0,890142435.6329616,1,1,34.443469,119.816574
Wulanhot Iron & Steel Co Ltd,1350.0,3362380016.537606,1,1,46.055685,122.063282
Hebei Huaxin Special Steel Co Ltd,1350.0,1439683054.8066726,1,1,36.53048,114.245262
Tongling Fuxin Iron & Steel Co Ltd,1350.0,6386761084.181079,1,1,30.907561,117.772866
Yunnan Desheng Steel Co Ltd,1350.0,179784996.6136446,1,1,25.142516,102.077727
Qinglong Manzhu Autonomous County Delong Casting Industry Development Co Ltd,1350.0,14286152.175898882,1,1,40.427008,119.219855
Xinjiang KingTec Steel Co Ltd,1334.0,93932.5409826021,1,1,42.674192,86.280156
Mindong Saiqi Economic Development Zone Fuhua Steel Rolling Co Ltd,1325.0,283759824.5657374,1,1,26.961516,119.654272
Guizhou Ganglian Industrial Group Co Ltd,1325.0,3047624310.877063,1,1,27.615147,106.949926
Jai Balaji Industries Ltd,1323.0,675745315.8269312,2,1,23.485256999999997,87.36084149999999
Hengyang Valin Steel Tube Co Ltd,1300.0,8841440925.872505,1,1,26.865484,112.576853
Anyang Iron & Steel Co Ltd,1300.0,17037663839.757977,1,1,36.122129,114.283145
Baotou Deshun Spec. Steel Co Ltd,1250.0,1018690.4685914837,1,1,40.9019,110.336253
Fujian Longgang New Materials Co Ltd,1210.0,81212030.76822813,1,1,25.357408,117.362096
Huahong Iron and Steel Products Co Ltd,1200.0,468805622.32278705,1,1,28.090098,119.519509
Guangxi Guigang Iron and Steel Group Guigang Guibao SPECIAL Steel Co Ltd,1200.0,6503602261.824279,1,1,23.089502,109.63938
Shaanxi Huaxin Special Steel Group Co Ltd,1200.0,179102021.36746305,1,1,34.523278,109.986042
Guangxi Liugang Zhongjin Stainless Steel Co Ltd,1200.0,221366537.43015066,1,1,21.67261,109.741866
Guilin Pinggang Iron and Steel Co Ltd,1200.0,33714093.6953855,1,1,24.673567,110.78959
Henan Fuhua Iron & Steel Group Co Ltd,1200.0,3251997907.564753,1,1,34.462949,113.700844
natural person(s); Hubei Xinxin Steel Group Co Ltd,1200.0,1002488417.5250294,1,1,30.067469,114.934091
JSW Ispat Special Products Ltd,1200.0,213067224.22470316,1,1,21.983709,83.238133
Zhejiang Wantai Special Steel Co Ltd,1200.0,3208888731.268896,1,1,30.944342,120.971803
Mesco Kalinga Steel Ltd,1200.0,864289310.3874147,1,1,20.976277,86.044419
Prakash Industries Ltd,1190.0,465552274.1725282,1,1,22.004694,82.671666
Yazdani Steel and Power Ltd,1190.0,864289310.3874147,1,1,20.928285,86.036604
MSP Steel & Power Ltd,1173.0,122199505.11316605,1,1,21.87673,83.554495
Guangxi Hezhou Kexinda Metal Products Co Ltd,1150.0,90031801.82740928,1,1,23.979937,111.745037
Hejin Huaxinyuan Steel & Iron Co Ltd,1150.0,1208145259.4777637,1,1,35.605506,110.652056
Crest Steel and Power Pvt Ltd,1142.0,1306781871.7744355,1,1,21.190313,81.19922
Yuxi Iron and Steel Group Zhenfei Iron and Steel Co Ltd,1110.0,106654789.90736285,1,1,24.074756,102.765983
Xinjiang Minxin Iron and Steel (Group) Minhang Special Steel Co Ltd,1110.0,1337515.1727294303,1,1,44.080866,88.417209
Guangdong Guangqing Metal Technology Co Ltd,1100.0,5052871258.0219145,1,1,31.980237,120.571455
Zhejiang Yuxin Industrial Co Ltd,1100.0,511578477.6555888,1,1,28.787202,120.248592
Jilinheng Precision Casting Technology Co Ltd,1100.0,10768816.011382872,1,1,43.196537,126.00063
Gaolan County Lanxin Steel Co Ltd,1100.0,4705947.349746395,1,1,36.488866,103.922
Kapila Metals Pvt Ltd,1074.0,100155279.26306468,1,1,19.874223,75.817553
Sunflag Iron and Steel Co Ltd,1025.0,158719364.06818208,1,1,21.232929,79.632398
Guangdong Taidu Iron & Steel Co Ltd,1020.0,1746497357.0257854,1,1,23.504558,112.962693
Arjas Steel Pvt Ltd,1005.0,216622786.99645334,1,1,14.873471,78.048425
Xinjiang Ka Steel Group Co,1000.0,4239302.117930701,1,1,39.142997,76.161589
Jiangxi Taixin Iron & Steel Co Ltd,1000.0,24651705.83317486,1,1,28.60445,118.163615
Sichuan Shengquan Iron and Steel Group Co Ltd,1000.0,1180067619.3126886,1,1,31.255961,104.190612
Xuzhou Jinhong Iron and Steel Group Co Ltd,1000.0,62626478.12289046,1,1,34.500122,116.908897
Shengli (Qingyuan) Steel Products Co Ltd,1000.0,1383225148.037752,1,1,23.553041,113.119942
Fujian Hongfeng Industrial Group Co Ltd,1000.0,29883675.310433295,1,1,26.868423,117.776369
Anhui Langxi County Fuhang Steel Co Ltd,1000.0,86904812.1034762,1,1,31.246635,119.120443
Dazhou Hangda Steel Co Ltd,1000.0,49607605.43538932,1,1,31.435149,107.685981
Jilin Steel Group Taihua Metal Equipment Manufacture Co Ltd,1000.0,912548532.864007,1,1,44.138826,125.914941
Chizhou Guichi Guihang Metal Products Co Ltd,1000.0,189683194.67400867,1,1,30.532786,117.25166
Wuzhou Yongda Special Steel Co Ltd,1000.0,607979569.3111423,1,1,23.520307,111.229981
Jingzhou Qunli Metal Products Co Ltd,1000.0,118075214.85034539,1,1,30.3505,112.353782
Xinjiang Yili Iron and Steel Co Ltd,1000.0,36347068.67769812,1,1,43.526808,83.294323
YunNan Province Tiangao Nickel Alloy Co Ltd,1000.0,229330969.90024498,1,1,24.80128,104.063455
Xinjiang Da'an Special Steel Co Ltd,1000.0,21656190.748155303,1,1,42.700465,93.542466
Cangzhou Lingang Sanling Metal Co Ltd,1000.0,90759574.23978685,1,1,38.311738,117.457779
Fushun Special Steel Co Ltd,999.0,8540543698.927486,1,1,41.838774,123.806586
Qianxinan Prefecture Juxin Industry & Trade General Co,990.0,259782939.28469855,1,1,25.150857,105.041722
Topy Industries Ltd,960.0,6515425440.511312,1,1,34.719644,137.322259
Fujian Qingtuo New Material Co Ltd,958.0,11794218.386546498,1,1,26.779301,119.767935
Jinye Steel Group Co Ltd,950.0,1182364306.7889879,1,1,36.148131,113.209523
Fengshun County Dongfang Metal Casting Co Ltd,930.0,453215982.2079722,1,1,23.749104,116.138262
Longchuan Hanghui Steel Co Ltd,930.0,1069393003.8951043,1,1,24.113189,115.215068
Guangdong Shengye Steel Co Ltd,920.0,106278554.73135719,1,1,24.008564,114.797328
Guangdong Taiye Hongda Steel Co Ltd,920.0,1746497357.0257854,1,1,23.54332928798603,112.99082407443541
Guangdong Shiji Qingshan Nickel Industry Co Ltd,900.0,546325381.749661,1,1,21.687053,111.848893
Guangshui Huaxin Smelt Industry Co Ltd,869.0,39099648.249599755,1,1,31.50221,114.008142
Guangdong Hongde Steel Group Co Ltd,860.0,2371893017.6045723,1,1,24.672351,113.535574
Tangshan Shoutang Baosheng Functional Materials Co Ltd,860.0,1356006637.3997142,1,1,39.751793,118.490004
Yunnan Muguang Industry and Trade Co Ltd,850.0,106654789.90736285,1,1,24.077079,102.771634
Yuxi Huixi Metal Casting Products Co Ltd,850.0,1153461107.3559847,1,1,24.360481,102.481118
Sichuan Ya'an Anshan Iron and Steel Co Ltd,830.0,388037.3015476711,1,1,30.059133,102.625907
Zunyi Changling Special Steel Co Ltd,825.0,3047624310.877063,1,1,27.614947,106.949752
Tangshan Xinglong Steel Co Ltd,825.0,178134743.02966222,1,1,39.847612,118.348448
Gallantt Ispat Ltd,800.0,881769082.2374166,1,1,26.757009,83.199086
Inner Mongolia Mingtuo Ferrite New Material Co Ltd,800.0,563557793.4713724,1,1,40.597557,109.683202
Chubu Steel Plate Co Ltd,800.0,176716694372.9768,1,1,35.118836,136.867567
Baicheng Fuda Bar Rolling Co Ltd,788.0,4030918213.477184,1,1,45.593303,122.895588
Hezhou Xindu Sanyuan Casting Co Ltd,780.0,90031801.82740928,1,1,23.987007,111.739775
Mono Steel (India) Ltd,770.0,31833855.18768871,1,1,23.312265,70.201953
Prakash Sponge Iron and Power Pvt Ltd,765.0,10655640.702493113,1,1,14.152912,76.665824
Haicheng Hengsheng Casting Co Ltd,760.0,722648668.565372,1,1,41.057478,122.8328
Hezhou Zhaoxin Hardware Products Co Ltd,750.0,90031801.82740928,1,1,23.978567,111.735529
Fujian Fuxin Special Steel Co Ltd,720.0,17250077612.688942,1,1,24.472439,117.94885
Guangdong Daxing Iron & Steel Industrial Co Ltd,720.0,13690835436.783312,1,1,23.529158,116.329247
Fengshun County Agricultural Machinery Continuous Casting Co,720.0,453215982.2079722,1,1,23.748318,116.13985
Lianping County Huafeng Steel Co Ltd,720.0,271704400.55409884,1,1,24.18435,114.728202
Fengshun County Hongbao Industrial Co Ltd,720.0,1404595.2279711333,1,1,23.720136,115.949449
Zijin County Dongri Foundry Co Ltd,720.0,12925770.443472354,1,1,23.356612,114.769565
Jiangyin Xicheng Steel Co Ltd,720.0,8256028173.465794,1,1,31.892299,120.198394
Fengshun Yongshun Continuous Casting Plant,720.0,453215982.2079722,1,1,23.747173,116.126241
Dongyuan Dongnan Industrial Co Ltd,720.0,24627219.044078365,1,1,24.038397,114.873435
Guangdong Yuedong Steel Co Ltd,720.0,10381673523.067602,1,1,23.711585,114.689761
NR Ispat and Power Pvt Ltd,712.0,155299189.2988411,1,1,22.013086,83.330372
Orissa Sponge Iron and Steel Ltd,701.0,55597769.29395994,1,1,21.801994,85.56751
Mukand Sumi Special Steel Ltd,700.0,208281204.80950305,1,1,15.328976,76.258613
Linyi Iron and Steel Investment Group Stainless Steel Co Ltd,700.0,238915176.01580334,1,1,35.148443,119.068015
Chongqing Yonghang Steel Group Co Ltd,700.0,476620864.0503676,1,1,29.836163,106.988138
Tangshan Yutian Jinzhou Industry Co Ltd,700.0,74159309.89730716,1,1,39.967373,117.857659
Yamato Steel Co Ltd,700.0,11107163158.787853,1,1,34.783319,134.604616
Shaanxi Hanzhong Iron & Steel Group Co,700.0,554486726.9337088,1,1,33.132446,106.657646
Yun County Rongfeng Rolling Mill Factory,700.0,2868377109.874325,1,1,32.738598,110.793269
Ramsarup Industries Ltd,690.0,3789988245.8372393,1,1,22.977477,88.457443
Bhagyalaxmi Metals Pvt Ltd,672.0,20100548.68457569,1,1,20.088919,79.71792
Pan Gang Group Sichuan Changcheng Special Steel Co Ltd,669.0,2578998262.3683743,1,1,31.763517,104.761441
Shakambhari Ispat & Power Ltd,660.0,740366725.9212388,1,1,23.613861,86.789527
Guangdong Guixin Steel Co Ltd,630.0,1383225148.037752,1,1,23.517109,113.106865
Lianyungang Huale Alloy Group Co Ltd,621.0,175014771.30063456,1,1,34.607964,119.447626
Fengshun Changsheng Precision Steel Casting Co Ltd,620.0,1746497357.0257854,1,1,23.507015,112.953822
Huizhou Jushun Iron and Steel Plant,620.0,5079645602.338191,1,1,23.178652,114.279374
Heyuan Huacheng Metal Products Co Ltd,620.0,661354659.4113086,1,1,23.56658,114.598993
Shyam Steel Manufacturing Ltd,616.0,675556161.7232339,1,1,23.564157,87.089552
BPA Metallics Pvt Ltd,613.0,400367384.08294696,1,1,21.926993,83.374089
Shiyan Fuyan Iron and Steel Co Ltd,600.0,111115982.9373292,1,1,32.650367,110.654794
Atibir Industries Co Ltd,600.0,510655890.86209947,1,1,24.145239,86.334999
Fujian Dingxin Industry Co Ltd,600.0,11794218.386546498,1,1,26.7695,119.738519
Shougang Guiyang SPECIAL Steel Co Ltd,600.0,264952407.92503846,1,1,26.873592,106.73215
Swadesh Metallics Pvt Ltd,600.0,194558399.93739942,1,1,21.625706,81.705254
Nakayama Steel Products Co Ltd,600.0,324278211589.9782,1,1,34.699762,135.430119
Sichuan Gangchen Stainless Steel Co Ltd,600.0,473439435.8729224,1,1,29.501044,103.607365
KIC Metaliks Ltd,598.0,1554639245.0040002,1,1,23.507539,87.277914
Fogang Dawei Special Steel Co Ltd,575.0,794462578.72561,1,1,23.893972,113.500829
Inner Mongolia Wanzhou Special Steel Co Ltd,575.0,13833901.491643237,1,1,40.977329,110.022924
Sichuan Shehong Chuanzhong Construction Materials Co Ltd,550.0,442654217.20127475,1,1,30.830726,105.367695
Taishan Baofeng Iron & Steel Co Ltd,520.0,4190029623.921236,1,1,22.425677,112.788855
Chongqing Pengcheng Steel Co Ltd,520.0,3649329774.430953,1,1,29.259699,106.214031
Guangdong Yuehua Iron & Steel Group Co Ltd,520.0,386008960.44992363,1,1,24.275783,113.388896
Guizhou Hexing Metal Products Co Ltd,500.0,30310794.301979743,1,1,26.509525,107.570458
Linyi Meide Gengchen Metal Materials Co Ltd,500.0,374021532.01611346,1,1,35.188667,119.087048
Kishiwada Steel Co Ltd,500.0,38442254742.5372,1,1,34.477479,135.353918
Tianjin Rongcheng Group Tangshan Special Steel Co Ltd; Tangshan Zhengfeng Steel Co Ltd,500.0,2256673828.2882605,1,1,39.85271,118.181279
Liaoyang Xinyi Special Steel Co Ltd,500.0,4381066890.384275,1,1,41.225003,122.970488
Ningbo Haoyang New MATERIALS Techonology Co Ltd,500.0,4420088191.603954,1,1,30.267113,121.052503
Vardhman Special Steels Limited,500.0,2490777403.6033077,1,1,30.890103,75.908673
Hubei Dazhan Steel & Iron Co Ltd,500.0,600972460.8080096,1,1,31.006752,113.754995
Zhejiang TSINGSHAN IRON&STEEL Co Ltd,500.0,1195110580.909999,1,1,28.136096,120.380401
Guangdong Zhanhong Steel Plant,500.0,33770610.58382256,1,1,23.037858,114.970593
Anhui Jingxian Longxin Iron and Steel Co Ltd,500.0,271114715.91688704,1,1,30.709058,118.436638
"Guangde Xinyuanda Metal Products Co., Ltd. Co Ltd",500.0,60598213.36689451,1,1,31.0494162,119.5296269
Adhunik Metaliks Ltd,500.0,721177173.7528095,1,1,22.308371,84.763584
Guangdong Fogang Jincheng Metal Products Co Ltd,500.0,92889374.35438424,1,1,23.741965,113.502168
Huainan Hongtai Steel Limited Liability Co,500.0,4888696838.2685,1,1,32.619248,116.905869
Anhui Jin'an Stainless Steel Foundry Co Ltd,500.0,413630926.1177371,1,1,31.763956,115.924372
Guangdong Yueshao Iron & Steel Co Ltd,500.0,2904267538.2436757,1,1,24.688355,113.657408
Jai Balaji Jyoti Steels Ltd,422.0,94945328.67570616,1,1,22.085338,84.86184
Xinjiang Xin'an Special Steel Co Ltd,400.0,2447855.543441533,1,1,44.290299,86.595826
Jinzhou Jinxing Special Steel Co Ltd,360.0,549095770.045926,1,1,41.188888,121.225043
"Fugang METAL Manufacturing Co.ltd.,jilinjigang Steel Group",360.0,218005645.09942687,1,1,44.022802,125.505627
Nilachal Iron & Power Ltd,299.0,631216996.6196955,1,1,22.874863,86.063646
Chongqing Yuxi Iron & Steel (Group) Co Ltd,260.0,157576554.0679347,1,1,29.488759,105.862658
Linzhou Hexin Foundry Co Ltd,240.0,1250100343.4634068,1,1,36.112742,113.861135
Yunnan Qujing Shuangyou Iron and Steel Co Ltd,130.0,7472321818.171346,1,1,25.54218,103.781041
Xinjiang Kunyu Lron & Steel Co Ltd,0.0,499486217.0650745,1,1,44.404189,84.966753
Xuanhua Iron and Steel Group Co Ltd,0.0,1534319950.0774214,1,1,40.589591,115.090889
Xuzhou Baofeng Special Steel Co Ltd,0.0,1369908468.9113462,1,1,34.364872,117.322633
Xiwang METAL Science Technology Co Ltd,0.0,1079457394.0062003,1,1,36.928208,117.694654
JSW Bengal Steel Ltd,0.0,178521520.3246137,1,1,22.575726,87.310258
Xuzhou TaiFa Special Steel Technology Co Ltd,0.0,279149401.67212856,1,1,34.448514,117.271876
Hubei Wucheng Iron and Steel Group Co Ltd,0.0,14250230836.869875,1,1,30.341239,114.857744
Ningxia Boyu Hongxing Special Steel Group Co Ltd,0.0,1044069289.8932406,1,1,39.273832,106.75146
Baotou DA AN IRON&STEEL Co Ltd,0.0,8439898530.62294,2,1,40.688731000000004,109.75999300000001
Huarui (Handan) Casting & Pipe Co Ltd,0.0,1340340843.3454995,1,1,36.561049,114.102793
Baotou Baoxin Special Steel Co Ltd,0.0,883833.8895358075,1,1,41.362925,110.988771
Baotou Jiyu Steel Co Ltd,0.0,563557793.4713724,1,1,40.662343,109.696243
Huangshi Xinxing Pipe Industry Co Ltd,0.0,4262753872.987659,1,1,30.181393,114.944879
Jiangsu Xingda Steel Group Co Ltd,0.0,261090607.59518936,1,1,34.501981,117.316278
Baosteel Special Metals Co Ltd,0.0,72345769161.90762,1,1,31.379422,121.484652
ArcelorMittal SA,0.0,490816268.93993175,1,1,15.139498,76.918417
Langfang Guangyuan Metalwork Co Ltd,0.0,1533063394.1574883,1,1,39.181466,116.838667
Zibo Qilin Fushan Steel Co Ltd,0.0,5698841287.0221615,1,1,36.887998,118.145416
Anyang Huixin Special Steel Co Ltd,0.0,3691623504.775808,1,1,36.152418,114.15839
Zhengzhou YONGTONG SPECIAL Steel Co Ltd,0.0,349309237.1561481,1,1,34.64443,112.937985
Linyi Jiangxin Steel Co Ltd,0.0,7972147725.823803,1,1,34.951117,118.305389
Anyang Xinpu Steel Co Ltd,0.0,17037663839.757977,1,1,36.163203,114.296223
Yuxi Xinxing Iron & Steel Co Ltd,0.0,204193710.09956524,1,1,24.249024,102.521747
Luannan Huarui Steel Co Ltd,0.0,1572778754.3996863,1,1,39.51833,118.715766
Jiangxi Yuanxing Iron and Steel Co Ltd,0.0,982532261.0660375,1,1,24.881098,114.802833
Yichang Fulong Iron & Steel Co Ltd,0.0,3382709142.716387,1,1,30.586332,111.398846
Luoyang Luogang Group of Steel and Iron Co Ltd,0.0,898607349.1565193,1,1,34.798477,112.580505
Honghe Iron and Steel Co Ltd,0.0,1145833787.5269697,1,1,23.470733,103.272784
Yunnan Qujing Iron & Steel Group Yue Steel Iron & Steel Co Ltd,0.0,135064897.5047968,1,1,25.304544,103.889418
Jiangsu Suxin Special Steel Co Ltd,0.0,11475374812.138918,1,1,31.400644,120.475103
Yunnan Jingye Steel Co,0.0,59127258.8221577,1,1,25.023852,102.312086
Mintal Group Co Ltd,0.0,38453234.3149022,1,1,41.7915,109.865367
Jiangsu Shente Steel Corp,0.0,5294448729.56292,1,1,31.471123,119.485941
Jiangsu Longyuan Steel Co Ltd,0.0,261090607.59518936,1,1,34.538033,117.329589
Bhushan Power & Steel Ltd,0.0,113645399.55906004,1,1,22.665526,85.64622
GuangDong Xinxing Ductile Iron Pipes Co Ltd,0.0,126961940.125218,1,1,22.09914,111.665479
Henan Changtai Stainless Steel Plate Co Ltd,0.0,3849360572.403314,1,1,34.702951,112.955911
Shanxi Dongfang Hengliu Precision Casting Co,0.0,586782703.6351858,1,1,36.080051,111.647754
Tianjin Tianfeng Steel Co Ltd,0.0,805190129.0529438,1,1,38.832642,117.102765
Tianjin Rongcheng Group Tangshan Special Steel Co Ltd,0.0,9710283612.501226,1,1,39.551552,118.137993
Electrosteel Castings Ltd,0.0,142335900.08133274,1,1,13.717188,79.630588
Tianjin Metallurgy Group Zhasan Steel Co Ltd,0.0,805190129.0529438,1,1,38.825269,117.08849
Ezhou Hongtai Steel Co Ltd,0.0,1723280956.9704273,1,1,30.532352,114.747597
Fangchenggang Jinxi Steel Technology Co Ltd,0.0,954514098.9683073,1,1,21.646525,108.369582
Shandong Minyuan Steel & Iron Co Ltd,0.0,5882085161.067249,1,1,36.728409,117.426582
Tata Metaliks Ltd,0.0,2985882028.961829,1,1,22.385611,87.287179
Shandong Taishan Steel Group Co Ltd,0.0,6228848405.062526,1,1,36.22141,117.627728
Shandong Xinhua Special Steel Group Co Ltd,0.0,783615313.084411,1,1,36.256175,116.179833
Tangshan Xinbaotai Iron & Steel Co Ltd,0.0,597616844.3023248,1,1,39.861425,118.03667
Tangshan Stainless Steel Co Ltd,0.0,1009690044.964777,2,1,39.445598000000004,118.448707
Tianjin Tianzhong Giant Heavy Industry Co Ltd,0.0,1572778754.3996863,1,1,39.501442,118.719554
Shanxi HUAQIANG Iron and Steel Co Ltd,0.0,402152281.1129497,1,1,35.670848,111.378887
Shanxi Liheng Iron and Steel Co Ltd,0.0,747390169.8949468,1,1,35.701541,111.42671
Tangshan Jinma Iron & Steel Group Co Ltd,0.0,1872854078.2187674,1,1,39.700499,118.456775
Tangshan Jianlong Steel SPECIAL Steel Co Ltd,0.0,3405149508.8777,1,1,40.167686,117.964004
Tangshan GUOYI SPECIAL Steel Co Ltd,0.0,1597397963.2435653,1,1,39.659153,118.411488
Tangshan Fengnan Kaiheng Iron & Steel Co Ltd,0.0,307330756.7732362,1,1,39.4632,118.247191
Shijiazhuang Hongsen Melting & Casting Co Ltd,0.0,945492196.1136818,1,1,38.021527,114.916959
Tangshan DELONG Steel Co Ltd,0.0,218136816.73348233,1,1,39.19256,118.899533
TANG Shan Iron and Steel Group Co Ltd,0.0,39795139194.13621,1,1,39.648587,118.212487
Fushun HANWANG Direct Reduced Iron Co Ltd,0.0,26636182.46122891,1,1,41.670998,123.85143
Shougang Yili Iron & Steel Co Ltd,0.0,36347068.67769812,1,1,43.528516,83.276706
Shandong Longsheng Iron and Steel Co Ltd,0.0,2852374041.5661826,1,1,36.891189,118.187041
Shandong Laigang Yongfeng Steel Corp,0.0,2781115807.54017,1,1,36.7993,116.8026
Xindia Steels Ltd,0.0,185356174.34875867,1,1,15.293421,76.234947
Wugang Zhongjia Iron & Steel Co Ltd,0.0,642394331.888709,1,1,33.29175,113.458011
Xiangfen County Xingyuan Steel Group Co Ltd,0.0,643103075.7903618,1,1,35.880324,111.387956
Xiangfen County XinJinShan Special Steel Co Ltd,0.0,517374334.2584018,1,1,35.934831,111.49707
Changli Xingguo Precision Machinery Co Ltd,0.0,853581286.6142415,1,1,39.704921,118.897417
Hebei Xinghua Iron and Steel Co Ltd,0.0,2791499561.2492723,1,1,36.744936,114.111602
Chengde Shengfeng Iron & Steel Co Ltd,0.0,714450516.0938448,1,1,40.622466,118.490845
Wuxi Xinsanzhou Special Steel Co Ltd,0.0,11935089663.247892,1,1,31.681005,120.251785
Hebei Wenfeng STEEL&IRON Co Ltd,0.0,1570133414.6514165,1,1,36.64577,114.124258
Hebei Tianzhu IRON&STEEL (GROUP) Co Ltd,0.0,4568324809.945682,1,1,39.803524,118.205663
Wuhan Shunle Stainless Steel Co Ltd,0.0,11843724400.76606,1,1,30.394434,114.257701
Hebei PROVINCE Longfengshan Casting Industry Co Ltd,0.0,2791499561.2492723,1,1,36.705105,114.105387
Chongli Steel Manufacturing Co Ltd,0.0,475205331.7791578,1,1,36.602468,113.755744
Wuan Mingfang Iron & Steel Co Ltd,0.0,6917400988.421546,1,1,36.710754,114.207855
Handan Iron and Steel Group Co Ltd,0.0,34430628965.986046,1,1,36.601308,114.439889
Wu'an Yongcheng Zhuye Co Ltd,0.0,188809636.46592227,1,1,36.660278,113.993995
Hebei Jingdong Pipe Industry Co Ltd,0.0,177055102.2953652,1,1,39.932656,118.836844
Weining Hengchang Furnace Charge & Casting Co Ltd,0.0,21953226.651415624,1,1,26.783556,104.394517
WISCO Group Xiangyang Heavy Equipment MATERIALS Co Ltd,0.0,6115679576.442959,1,1,32.10704,112.235621
Shandong Chuanyang Group Co Ltd,0.0,3677756121.979178,1,1,36.894784,117.888366
Vedanta Iron and Steel Ltd,0.0,607137556.302787,1,1,15.526866,73.986671
Shandong Guangfu Group Co Ltd,0.0,833477595.0387985,1,1,36.863145,117.616918
Hebei Guanfeng Metallurgical Industry Co Ltd,0.0,2791499561.2492723,1,1,36.73422,114.111085
Tongshan Liguo Iron and Steel Co Ltd,0.0,261090607.59518936,1,1,34.55486,117.327039
Hebei Baoxin Iron and Steel Group Co Ltd,0.0,1340340843.3454995,1,1,36.555205,114.108273
Shandong Iron Steel Group Yongfeng Zibo Co Ltd,0.0,5698841287.0221615,1,1,36.906036,118.111833
Chengde Zhaofeng Steel Group Co Ltd,0.0,25938154.368309747,1,1,40.593875,118.633334
